afatds,
afb,
afc,
afcac,
afcc,
afd,
afdecho,
afear,
afeard,
afeared,
afebrile,
afenil,
afer,
afernan,
afetal,
aff,
affa,
affability,
affabilities,
affable,laughable
affableness,laughableness
affably,laughably
affabrous,
affair,dare,healthcare,lair,earthenware,rare,elsewhere,software,extraordinaire,mohair,care,threadbare,footwear,chair,gare,compare,anywhere,bair,lare,clair,scare,mare,there,snare,welfare,bear,solitaire,warfare,impair,underwear,hardware,heir,nowhere,medicare,dispair,repair,wear,unaware,where,altair,ere,fanfare,faire,despair,nightmare,prayer,forebear,aer,mer,bare,blair,airfare,prepare,square,terre,hare,spare,swear,delaware,pare,claire,flair,glare,armchair,pair,beware,share,cookware,thoroughfare,everywhere,tear,questionnaire,err,forswear,stare,cher,timeshare,hair,childcare,millionaire,doctrinaire,blare,eyre,malware,flare,fair,daycare,pear,guerre,air,stair,unfair,ensnare,ware,declare,fare,their,aware,debonair
affaire,afair
affaires,
affairs,spares,mares,lairs,bears,ensnares,ayres,pairs,maerz,swears,americares,xers,declares,downstairs,questionnaires,wears,heirs,fairs,stares,forebears,despairs,unawares,hairs,hares,faires,tears,wheelchairs,fares,jares,legionnaires,compares,nightmares,errs,mairs,berres,thoroughfares,dares,glares,kehres,pares,housewares,shares,daycares,sayres,millionaires,phares,gerres,bares,frontieres,flares,airs,khmers,billionaires,chairs,airfares,squares,repairs,multimillionaires,upstairs,prayers,stairs,armchairs,somewheres,theres,wares,pears,bures,chaires,snares,prepares,cares,theirs,fiduciares,bankshares,freres,impairs,gehres,scares,blares,backstairs
affair's,
affaite,
affamish,
affatuate,
affect,introspect,brecht,dissect,specked,resurrect,interconnect,hecht,disconnect,reinspect,reject,recht,prefect,pecked,intersect,henpecked,disrespect,dialect,speckt,disinfect,knecht,redirect,wrecked,unchecked,architect,recollect,interject,flecked,detect,neglect,necked,retrospect,disaffect,albrecht,wecht,transect,effect,schlecht,erect,specht,project,inject,sect,deject,confect,suspect,reflect,spect,infect,aspect,misdirect,aftereffect,insect,intellect,reconnect,perfect,bedecked,reelect,expect,protect,respect,defect,correct,collect,rechecked,trekked,inspect,checked,elect,decked,incorrect,overprotect,select,welked,object,whelked,circumspect,deflect,indirect,direct,eject,connect,subject
affectability,
affectable,
affectate,
affectation,remediation,collaboration,sensation,revelation,radiation,consideration,proliferation,organization,affiliation,alliteration,expectation,correlation,communication,representation,location,dissertation,approbation,innovation,evaluation,adaptation,education,orientation,nation,collocation,appreciation,articulation,station,dedication,vacation,segregation,accommodation,affirmation,observation,inspiration,population,quotation,discrimination,conversation,integration,altercation,conservation,creation,aberration,vocation,translation,application,designation,association,consternation,transportation,information,obfuscation,manifestation,reservation,operation,litigation,indignation,constellation,pronunciation,meditation,abomination,civilization,interpretation,reconciliation,ramification,presentation,cooperation,remuneration,configuration,corporation,medication,salvation,conflagration,connotation,foundation,trepidation,determination,precipitation,inclination,variation,transformation,situation,notation,preparation,citation,generation,administration,anticipation,rehabilitation,abbreviation,obligation,implementation,relation,motivation,compensation,reputation,gentrification,deviation,aspiration,implication
affectationist,
affectations,
affectation's,
affected,expected,reflected,deflected,infected,disconnected,redirected,ectad,selected,perfected,dejected,directed,effected,disrespected,inflected,unelected,projected,defected,respected,collected,overprotected,reconnected,protected,inspected,unsuspected,corrected,unprotected,dissected,recollected,erected,ejected,uncorrected,detected,neglected,misdirected,resurrected,disaffected,uncollected,rejected,intersected,elected,interjected,interconnected,unexpected,unaffected,connected,reelected,suspected,injected,transected,undetected,objected,subjected,unconnected,uninfected
affectedly,
affectedness,
affecter,effector,effecter
affecters,
affectibility,
affectible,effectible
affecting,deflecting,selecting,neglecting,injecting,disrespecting,detecting,reelecting,erecting,suspecting,infecting,reflecting,prospecting,reconnecting,projecting,directing,intersecting,perfecting,unsuspecting,inspecting,objecting,collecting,connecting,electing,recollecting,rejecting,correcting,redirecting,defecting,subjecting,resurrecting,expecting,effecting,protecting,disconnecting,ejecting,respecting,dissecting
affectingly,
affection,complexion,injection,disaffection,flexion,disinfection,section,connection,reflection,selection,correction,erection,inflection,predilection,midsection,circumspection,election,projection,reinspection,infection,defection,perfection,inspection,interconnection,transection,direction,disconnection,insurrection,reelection,redirection,detection,ejection,preelection,overprotection,protection,objection,collection,resurrection,rejection,imperfection,intersection,advection,rection,recollection,convection,introspection,confection,dissection,interjection
affectional,
affectionally,
affectionate,
affectionately,
affectionateness,
affectioned,
affectionless,
affections,imperfections,elections,inflections,recollections,selections,connections,predilections,injections,protections,directions,complexions,rejections,objections,inspections,intersections,collections,flexions,interconnections,sections,defections,corrections,confections,dissections,infections,interjections,projections,erections,reflections
affection's,
affectious,
affective,reflective,ineffective,detective,elective,prospective,invective,irrespective,perspective,respective,connective,defective,collective,selective,retrospective,projective,convective,subjective,directive,anti-infective,overprotective,infective,introspective,objective,protective,corrective,effective
affectively,respectively,prospectively,retrospectively,effectively,selectively,protectively,collectively,objectively
affectivity,effectivity
affectless,effectless
affectlessness,
affector,
affects,suspects,insects,collects,respects,deflects,reflects,infects,dissects,connects,disconnects,neglects,aspects,injects,recollects,subjects,intersects,ejects,rejects,aftereffects,intellects,erects,detects,selects,directs,architects,reconnects,interjects,projects,disrespects,corrects,dialects,effects,expects,defects,protects,elects,objects,inspects,sects
affectual,
affectum,
affectuous,
affectus,
affeeble,
affeer,
affeerer,
affeerment,
affeeror,
affeir,
affenpinscher,
affenspalte,
affer,
affere,
afferent,
afferently,
affettuoso,
affettuosos,
affy,
affiance,
affianced,
affiancer,
affiances,
affiancing,
affiant,
affiants,
affich,
affiche,
affiches,
afficionado,
affidare,
affidation,
affidavy,
affydavy,
affidavit,davit,savate
affidavits,davits
affidavit's,
affied,
affies,
affying,
affile,maffle,raffle,taffel,kaffle,baffle,tafel,raffel,raphel,shaffle,hafele,snaffle,gaffle,faffle,haffle,saffle,yaffle,saffell
affiliable,
affiliate,innate,emulate,subordinate,spate,designate,weight,rait,emanate,corroborate,state,indicate,consolidate,intimate,great,celebrate,repudiate,propagate,collate,collaborate,plate,dissipate,abate,surrogate,evaluate,estimate,fate,abrogate,reiterate,procrastinate,delineate,facilitate,assimilate,appreciate,alleviate,precipitate,arrogate,wait,coordinate,appropriate,trait,associate,integrate,delegate,extrapolate,communicate,freight,dedicate,consummate,denigrate,estate,alternate,straight,incorporate,stipulate,cultivate,mate,rate,update,advocate,obviate,accommodate,late,moderate,obfuscate,adequate,initiate,manipulate,postulate,mandate,inculcate,elucidate,compensate,date,mitigate,exacerbate,create,deliberate,elaborate,graduate,deprecate,predicate,commiserate,separate,conflate,gait,articulate,vacillate,desolate,slate,anticipate,gate,debate,profligate,ameliorate,relate,abdicate,disseminate,demonstrate,contemplate,resonate
