aggrandizement,ratatisement,disenfranchisement,advertisement,advisement,self-aggrandizement
aggrandizements,
aggrandizer,
aggrandizers,
aggrandizes,
aggrandizing,revitalizing,rising,crystallizing,realizing,monopolizing,finalizing,digitizing,antagonizing,stigmatizing,lysing,demonizing,normalizing,visualizing,utilizing,sizing,jeopardizing,fantasizing,centralizing,temporizing,improvising,exercising,compromising,mesmerizing,downsizing,alphabetizing,womanizing,oxidizing,authorizing,chastising,mobilizing,arising,surprising,capitalizing,theorizing,moralizing,modernizing,neutralizing,analyzing,recognizing,fraternizing,synchronizing,memorizing,immobilizing,paralyzing,amortizing,destabilizing,despising,stabilizing,advising,proselytizing,rationalizing,publicizing,self-aggrandizing,organizing,prizing,disguising,polarizing,appetizing,satirizing,unappetizing,unsurprising,devising,characterizing,maximizing,socializing,emphasizing,harmonizing,patronizing,advertising,scrutinizing,sanitizing,tantalizing,energizing,comprising,supervising,uprising,subsidizing,specializing,standardizing,democratizing,revising,demoralizing,minimizing,enterprising,immunizing,editorializing,criticizing,merchandising,apologizing,customizing,generalizing,ionizing,verbalizing,dehumanizing,galvanizing,summarizing,synthesizing,wising,prioritizing,tranquilizing
aggrate,
aggravable,
aggravate,demonstrate,date,integrate,desolate,appropriate,update,abate,precipitate,wait,postulate,estate,conflate,mate,trait,mitigate,delegate,resonate,indicate,collaborate,elaborate,associate,deprecate,incorporate,coordinate,late,deliberate,procrastinate,subordinate,surrogate,designate,delineate,celebrate,relate,contemplate,alternate,profligate,obviate,elucidate,anticipate,adequate,exacerbate,plate,denigrate,fate,gait,rate,emulate,communicate,evaluate,manipulate,estimate,obfuscate,vacillate,stipulate,arrogate,advocate,gate,reiterate,extrapolate,assimilate,create,graduate,cultivate,facilitate,appreciate,abdicate,freight,corroborate,inculcate,rait,compensate,dissipate,weight,consummate,predicate,mandate,propagate,initiate,slate,abrogate,repudiate,alleviate,separate,accommodate,dedicate,articulate,collate,great,innate,consolidate,debate,state,spate,intimate,ameliorate,emanate,moderate,straight,disseminate,commiserate
aggravated,overrated,alienated,agitated,appreciated,integrated,stipulated,exaggerated,outdated,animated,nauseated,truncated,intimidated,exacerbated,emaciated,fascinated,allocated,automated,separated,anticipated,elated,aggregated,unadulterated,unabated,consecrated,mandated,bifurcated,precipitated,exasperated,concentrated,sophisticated,emanated,inundated,slated,delineated,deprecated,situated,sated,related,understated,antiquated,relegated,dilated,stated,incarcerated,irritated,substantiated,predicated,infatuated,initiated,reiterated,contaminated,frustrated,saturated,serrated,eviscerated,cultivated,incorporated,opinionated,feted,consolidated,abated,dilapidated,promulgated,perforated,isolated,intimated,indicated,dissipated,interrelated,decapitated,liberated,belated,elevated,incapacitated,encapsulated,excoriated,complicated,attenuated,graduated,educated,designated,devastated,bated,exonerated,located,created,affiliated,prorated,unmitigated,annotated,motivated,inebriated,articulated,mitigated,corrugated,intoxicated,orientated,obligated,associated,dated
aggravates,hippocrates,expatriates,primates,exacerbates,illustrates,integrates,skates,repudiates,inmates,accommodates,delegates,invertebrates,sates,mitigates,vertebrates,waits,greats,rates,allocates,grates,fates,resonates,bates,affiliates,pates,corroborates,plates,nates,intimidates,weights,estimates,eights,traits,dates,evaporates,creates,coates,negates,mates,anticipates,advocates,plaits,separates,radiates,annotates,coordinates,indicates,gates,exaggerates,appreciates,yeats,translates,dissipates,associates,predicates,necessitates,slates,cates,awaits,straits,subordinates,crates,equates,mandates,estates,ates,delineates,chordates,yates,infuriates,demonstrates,fetes,differentiates,commemorates,emirates,graduates,classmates,deviates,operates,postulates,predominates,obviates,teammates,dictates,relates,updates,permeates,emulates,perpetuates,deteriorates,facilitates,states,disseminates,approximates,baits,fluctuates,extrapolates,accelerates
