off-centre,off-center
off-chance,
off-color,off-colour
off-colored,
offcolour,
offcome,
off-corn,
offcut,
off-cutting,
off-drive,
offed,barcroft,aloft,kroft,soft,groft,doffed,scoffed,oft,hayloft,loft,coughed,microsoft,quaffed,ashcroft,toft,hycroft,croft,ravenscroft,chipsoft,beecroft,scowcroft,powersoft,waft
offen,tophin,boffin,soften,often,coffin,goffin
offenbach,
offence,
offenceless,offenseless
offencelessly,
offences,
offend,goodfriend,pretend,comprehend,lend,wend,overextend,misspend,commend,godsend,hornblende,mend,wende,ascend,extend,friend,arend,transcend,kenned,mende,send,scend,outspend,girlfriend,befriend,blend,spend,contend,apprehend,bookend,hende,townshend,riverbend,wallsend,tend,amend,intend,ende,expend,rende,unbend,impend,uptrend,dividend,overspend,reoffend,depend,end,defend,suspend,landsend,abend,bend,blende,weekend,shend,denned,attend,recommend,fend,distend,penned,condescend,yearend,pitchblende,descend,exboyfriend,boyfriend,backend,trend,portend,yenned,downtrend,append
offendable,
offendant,
offended,appended,wended,contended,befriended,unattended,suspended,defended,apprehended,intended,commended,pended,ended,reoffended,blended,comprehended,depended,pretended,fended,distended,extended,mended,friended,descended,overextended,attended,ascended,unamended,expended,recommended,bended,tended,vended,transcended,splendid,amended,trended,unintended
offendedly,
offendedness,
offender,contender,pender,sender,cavender,render,bartender,weekender,einbender,extender,callender,defender,transgender,trender,bittenbender,splendor,vendor,zehnder,ender,eastender,blender,kender,fasbender,tender,pretender,vandevender,fassbender,vender,schlender,yender,spender,surrender,slender,lender,wender,bender,allender,gender,brendor,stender,fender,skender,brender,zender,mender,endor,challender,engender,suspender
offenders,contenders,eastenders,lenders,fenders,extenders,genders,enders,defenders,bartenders,renders,spenders,endres,suspenders,wenders,surrenders,tenders,senders,venders,blenders,pretenders,vendors,benders,penders
offendible,
offending,vending,condescending,unending,lending,trending,unbending,tending,expending,intending,fending,apprehending,impending,comprehending,descending,ascending,attending,depending,portending,amending,ending,outspending,sending,defending,contending,bending,mending,overspending,spending,rending,commending,recommending,transcending,overextending,suspending,befriending,wending,friending,pending,extending,misspending,blending,pretending,relending
offendress,
offends,girlfriends,godsends,extends,contends,descends,backends,trends,outspends,dividends,ends,friends,pretends,goodfriends,attends,transcends,ascends,wends,commends,tends,depends,arends,fends,blends,defends,bookends,comprehends,overextends,suspends,rends,boyfriends,lends,overspends,vends,bends,sends,intends,weekends,recommends,spends,portends,amends,mends,befriends
