pretensive,
pretensively,
pretensiveness,
pretentative,
pretention,
pretentious,contentious,unpretentious,conscientious,tendentious
pretentiously,
pretentiousness,
pretentiousnesses,
preter,praeter,praeter-,pretor,rhetor,heter,preter-,tweeter,heter-
preter-,praeter,praeter-,pretor,preter,rhetor,heter,tweeter,heter-
pretercanine,
preterchristian,
preterconventional,
preterdetermined,
preterdeterminedly,
preterdiplomatic,
preterdiplomatically,
preterequine,
preteressential,
pretergress,
pretergression,
preterhuman,
preterience,
preterient,
preterimperfect,
preterintentional,
preterist,
preterit,
preterite,
preteriteness,
preterite-present,
preterition,
preteritive,
preteritness,
preterito-present,
preterito-presential,
preterit-present,
preterits,
preterlabent,
preterlegal,
preterlethal,
preterminal,
pretermission,
pretermit,
pretermitted,
pretermitter,
pretermitting,
preternative,
preternatural,
preternaturalism,
preternaturalist,
preternaturality,
preternaturally,
preternaturalness,
preternormal,
preternotorious,
preternuptial,
preterperfect,
preterpluperfect,
preterpolitical,
preterrational,
preterregular,
preterrestrial,
preterritorial,
preterroyal,
preterscriptural,
preterseasonable,
pretersensual,
pre-tertiary,
pretervection,
pretest,
pretested,
pretestify,
pretestified,
pretestifying,
pretestimony,
pretestimonies,
pretesting,
pretests,
pretext,hypertext,perplexed,kekst,subtext,text,hext,sexed,telexed,hexed,videotext,next,annexed,datext,teletext,flexed,vexed
pretexta,
pretextae,
pretexted,
pretexting,
pretexts,
pretext's,
pretextuous,
pre-thanksgiving,
pretheological,
prethyroid,
prethoracic,
prethoughtful,
prethoughtfully,
prethoughtfulness,
prethreaten,
prethrill,
prethrust,
pretibial,
pretil,
pretimely,
pretimeliness,
pretympanic,
pretincture,
pretype,
pretyped,
pretypes,
pretyphoid,
pretypify,
pretypified,
pretypifying,
pretypographical,
pretyranny,
pretyrannical,
pretire,
pretired,
pretiring,
pretium,
pretoken,
pretold,
pretone,
pretonic,
pretor,praeter,praeter-,preter,rhetor,heter,preter-,tweeter,heter-
pretoria,morioplasty,viloria,crematoria,port-victoria,victoria,astoria,moria,vittoria,soria,thoria,longoria,shorea,sauria,florea,noria,moratoria,goria,deloria,peoria,gloria,morea,phantasmagoria,dauria,euphoria,dorea,gregoria,emporia,auria,chorea,scoria,floria,correa,lauria,loria,coria,doria
pretorial,
pretorian,
pretorium,praetorium
pretorius,
pretors,
pretorship,
pretorsional,
pretorture,
pretortured,
pretorturing,
pretournament,
pretrace,
pretraced,
pretracheal,
pretracing,
pretraditional,
pretrain,
pretraining,
pretransact,
pretransaction,
pretranscribe,
pretranscribed,
pretranscribing,
pretranscription,
pretranslate,
pretranslated,
pretranslating,
pretranslation,
pretransmission,
pretransmit,
pretransmitted,
pretransmitting,
pretransport,
pretransportation,
pretravel,
pretreat,
pretreated,
pretreaty,
pretreating,
pretreatment,retreatment
pretreats,
pretrematic,
pretry,
pretrial,rial,nial,trial,denial,lisle,prial,mistrial,dyal,hisle,myall,thiol,myel-,cryal,dial,phial,hyal-,vial,gemayel,spial,glial,redial,gyall,retrial,aisle,videophile,viall,lyall
pretribal,
pretrice,
pre-tridentine,
pretried,
pretrying,
pretrim,
pretrims,
pretrochal,
pretty,smitty,whitty,itty,kansas-city,subcommittee,committee,fulginiti,dette,clytie,mcquitty,pity,ditty,city,twitty,jitty,lanai-city,gritty,rette,vittae,itty-bitty,commitee,mutuality,mitty,chitty,bittie,bitty,new-york-city,nitty,kittie,titty,nitti,miltie,tittie,witty,kitty,intercity,hitty,litty,citi
pretty-behaved,
pretty-by-night,
prettied,citied,puttied,dittied
prettier,whittier
pretties,ditties,cities,committees,subcommittees
prettiest,
prettyface,
pretty-face,
pretty-faced,
prettify,
prettification,
prettified,
prettifier,
prettifiers,
prettifies,
prettifying,
pretty-footed,
pretty-humored,
prettying,puttying
prettyish,
prettyism,sutteeism
prettikin,
prettily,nuttily,grittily
pretty-looking,
pretty-mannered,
prettiness,grittiness,wittiness,flittiness,nuttiness,sootiness
prettinesses,
pretty-pretty,
pretty-spoken,
pretty-toned,
pretty-witted,
pretubercular,
pretuberculous,
pre-tudor,
pretzel,kaetzel,netzel,petzel,etzel,detzel,hetzel,stetzel,wetzel,whetzel
pretzels,
preultimate,
preultimately,
preumbonal,
preunderstand,
preunderstanding,
preunderstood,
preundertake,
preundertaken,
preundertaking,
preundertook,
preunion,
preunions,
preunite,
preunited,
preunites,
preuniting,
