turpin,turpen
turpinite,
turpis,
turpitude,imbued,obtrude,glued,allude,fortitude,endued,conclude,include,reviewed,brewed,canoed,rood,prude,delude,interlude,skewed,unglued,amplitude,subdued,hued,lewd,mood,nude,likud,wooed,altitude,exude,protrude,attitude,stewed,seafood,longitude,cooed,strewed,eschewed,servitude,ineptitude,snood,pseud,extrude,elude,gratitude,food,rude,multitude,sued,ensued,brood,hewed,misconstrued,debuted,chewed,dude,seclude,aptitude,accrued,screwed,barbecued,frankenfood,slewed,platitude,crude,exclude,shooed,latitude,queued,construed,trude,tude,intrude,pursued,solicitude,jude,exactitude,booed,flewed,collude,shrewd,prelude,rectitude,mooed,spewed,tattooed,gude,preclude,renewed,shoed,magnitude,strude,denude,verisimilitude,solitude,blued,cued,feud,certitude,viewed
turpitudes,
turps,twerps,stirpes,serps,stirps,burps,perps
turquet,
turquois,
turquoise,
turquoiseberry,
turquoise-blue,
turquoise-colored,
turquoise-encrusted,
turquoise-hued,
turquoiselike,
turquoises,
turquoise-studded,
turquoise-tinted,
turr,
turrel,worral,burghal,burhel,burrel,wirral,burrhel,pyrrol
turrell,goral,burrill,oral,zorille,murrell,aural,floral,curle,boral,laurel,borell,borel,morell,moril,roral,norell,forrill,bawrel,norrell,sorrell,sorrel,zoril,horrell,borrel,forel,surrell,horal,morelle,coral,turrill,torril,corle,thorell,lorel,hurrell,reloral,murrill,durrell,sorell,chloral,boreal,moral,orel,tearle,immoral,phlorol,auroral,balmoral,quarrel,sorel,loral,thoral,saurel,amoral,choral,koral
turret,bert,mcguirt,assert,herdt,subvert,flirt,invert,kirt,curt,exert,avert,burt,kurt,squirt,divert,vert,chert,gert,blurt,wert,thibert,berte,gumpert,dirt,lampert,peart,hert,outskirt,alert,introvert,quirt,wirt,skirt,hirt,pervert,pert,nightshirt,purt,spurt,desert,insert,hurt,extrovert,birt,inert,sweatshirt,dessert,miniskirt,girt,undershirt,overt,erte,burtt,hurtt,concert,boisvert,convert,disconcert,unhurt,reassert,shirt,humpert,evert,dilbert,mcgirt,kuhrt,revert
turreted,
turrethead,
turreting,
turretless,
turretlike,
turrets,peretz
turret's,
turret-shaped,
turret-topped,
turret-turning,
turrical,
turricle,
turricula,
turriculae,
turricular,
turriculate,muriculate
turriculated,
turriferous,
turriform,
turrigerous,
turrilepas,
turrilite,
turrilites,
turriliticone,
turrilitidae,
turrion,
turrited,
turritella,
turritellid,
turritellidae,
turritelloid,
turro,
turrum,
turse,
tursenoi,
tursha,
tursio,
tursiops,
turtan,
turtle,ertl,bertil,fertile,ertel,mirtle,ertle,infertile,hertel,hirtle,hurtle,purtle,birtle,purtell,mertle,curtal,myrtle,pirtle
turtleback,
turtle-back,
turtle-billing,
turtlebloom,
turtled,hurtled,bertilde
turtledom,
turtledove,
turtle-dove,
turtledoved,
turtledoves,
turtledoving,
turtle-footed,
turtle-haunted,
turtlehead,
turtleize,
turtlelike,
turtle-mouthed,
turtleneck,dreck,bedeck,meck,peck,roughneck,tec,feck,ameritech,nec,keck,spelk,sematech,steinbeck,breck,exec,quarterdeck,pech,heck,grecque,bec,check,dubcek,drecche,cheque,dec,bottleneck,symantec,lubeck,fleck,hightech,teck,henpeck,recheck,stech,reck,deck,mech,trek,tech,quebec,rech,sec,schneck,leck,speck,teaneck,antec,chek,ek,seck,parsec,apec,sneck,paycheck,aztec,eck,frech,freck,discotheque,streck,brubeck,tek,sheck,spec,weck,geck,rec,redneck,schreck,shek,blech,ringneck,treck,bleck,wreck,opec,czech,lek,steck,breakneck,yecch,whelk,biotech,kotek,lech,beck,neck,vasotec
turtle-neck,
