wises,disguises,minimizes,prioritizes,energizes,categorizes,fantasizes,formalizes,crystallizes,mises,materializes,specializes,satirizes,organizes,stabilizes,sensationalizes,recognizes,hellenizes,advertises,maximizes,downsizes,characterizes,polymerizes,brutalizes,idealizes,depressurizes,memorizes,rises,mischaracterizes,prizes,alphabetizes,analyzes,enterprises,arises,synchronizes,realizes,harmonizes,subsidizes,terrorizes,franchises,immunizes,tantalizes,itemizes,fertilizes,legitimizes,liberalizes,customizes,epitomizes,democratizes,revises,lyses,prises,excises,exercises,rhapsodizes,enfranchises,agonizes,scrutinizes,despises,monopolizes,criticizes,apologizes,demobilizes,galvanizes,compromises,summarizes,sympathizes,utilizes,advises,economizes,dieses,marginalizes,authorizes,paralyzes,comprises,guises,pressurizes,ironizes,idolizes,capitalizes,devises,sizes,humanizes,surprises,chastises,symbolizes,improvises,demilitarizes,polarizes,neutralizes,phizes,normalizes,equalizes,dramatizes,hypnotizes,overemphasizes,departmentalizes,jeopardizes,emphasizes,surmises,supervises
wise-said,
wise-spoken,
wisest,
wise-valiant,
wiseweed,
wisewoman,
wisewomen,
wise-worded,
wish,kishke,swordfish,swish,queenfish,shellfish,commish,jewfish,whitefish,fish,glish,dogfish,dish,lungfish,tisch,fisch,risch,ish,dealfish,pipefish,trish,starfish,cuttlefish,tish,rish,needlefish,kish,whish,phish,quish,isch,misch,disch,bisch,lish,flatfish,sailfish,bish,catfish,slish,frisch,redfish,blish,crawfish,goosefish,icefish,jellyfish,mish,angelfish,goldfish,knish,gish,sunfish,kisch
wisha,
wishable,
wishbone,condone,sown,trombone,headstone,simone,ozone,groan,whetstone,phone,cologne,chaperone,cyclone,testosterone,monotone,sloan,megaphone,joan,zone,clone,capstone,known,backbone,undertone,milestone,homegrown,gladstone,sewn,xylophone,scone,bone,blown,mone,gemstone,cone,brownstone,rone,millstone,hormone,postpone,cicerone,atone,disown,crone,headphone,tone,overblown,overthrown,tombstone,shown,t-bone,intone,bemoan,jawbone,loan,capone,argonne,anemone,hone,collarbone,rhinestone,grown,baritone,allophone,leone,thrown,keystone,cobblestone,homophone,pheromone,lodestone,acetone,mon,francophone,saxophone,earphone,rhone,lone,drone,silicone,cornerstone,sharon,own,touchstone,flown,microphone,moan,unknown,stone,throne,prone,alone,shone,fone,roan,overtone,moonstone,telephone,limestone
wishbones,fishbones
wish-bringer,
wished,whisht,swished,dished,fished
wished-for,
wishedly,
wishek,
wisher,fisher,fischer,tischer,risher,bisher,photofinisher,discher,krisher,swisher,pysher,fissure,visscher,krischer,kingfisher,tisher,mischer,disher
wishers,fissures,fishers,photofinishers,kingfishers
wishes,fishes,militias,dishes,swishes,pipefishes,jewfishes,flatfishes
wishful,
wish-fulfilling,
wish-fulfillment,
wishfully,
wishfulness,
wish-giver,
wishy,ishee,ishi,dishy,squishy,fishy,rishi
wishing,dishing,phishing,overfishing,fishing
wishingly,
wishy-washy,
wishy-washily,
wishy-washiness,
wishless,
wishly,
wishmay,
